"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Microsoft ASP.NET Core 3.1.10 - Shared Framework";"3.1.10.20520";"Microsoft Corporation";"-";"26";"Registre";"composant"
"Microsoft ASP.NET Core 3.1.10 Shared Framework (x64)";"3.1.10.20520";"Microsoft Corporation";"06/03/2026";"19";"Registre";"composant"
"Microsoft ASP.NET Core 7.0.10 - Shared Framework (x64)";"7.0.10.23364";"Microsoft Corporation";"-";"33,8";"Registre";"composant"
"Microsoft ASP.NET Core 7.0.10 - Shared Framework (x86)";"7.0.10.23364";"Microsoft Corporation";"-";"31";"Registre";"composant"
"Microsoft ASP.NET Core 7.0.10 Hosting Bundle Options";"7.0.10.23364";"Microsoft Corporation";"06/03/2026";"0";"Registre";"composant"
"Microsoft ASP.NET Core 7.0.10 Shared Framework (x64)";"7.0.10.23364";"Microsoft Corporation";"06/03/2026";"25";"Registre";"composant"
"Microsoft ASP.NET Core 7.0.10 Shared Framework (x86)";"7.0.10.23364";"Microsoft Corporation";"06/03/2026";"23";"Registre";"composant"
"Microsoft ASP.NET Core 8.0.21 - Shared Framework (x64)";"8.0.21.25475";"Microsoft Corporation";"-";"37";"Registre";"composant"
"Microsoft ASP.NET Core 8.0.21 Shared Framework (x64)";"8.0.21.25475";"Microsoft Corporation";"23/03/2026";"27,4";"Registre";"composant"
"Microsoft ASP.NET Core 8.0.25 - Shared Framework (x64)";"8.0.25.26112";"Microsoft Corporation";"-";"37,1";"Registre";"composant"
"Microsoft ASP.NET Core 8.0.25 Shared Framework (x64)";"8.0.25.26112";"Microsoft Corporation";"11/03/2026";"27,4";"Registre";"composant"
"Microsoft Edge";"146.0.3856.72";"Microsoft Corporation";"23/03/2026";"0";"Registre";"doublon"
"Microsoft Edge WebView2 Runtime";"146.0.3856.72";"Microsoft Corporation";"23/03/2026";"0";"Registre";"composant"
"Microsoft ODBC Driver 11 for SQL Server";"12.2.5223.6";"Microsoft Corporation";"23/03/2026";"4,6";"Registre";"main"
"Microsoft Primary Interoperability Assemblies 2005";"8.0.50727.42";"Microsoft Corporation";"20/03/2026";"16,2";"Registre";"main"
"Microsoft SQL Server 2008 Setup Support Files ";"10.3.5500.0";"Microsoft Corporation";"20/03/2026";"28,2";"Registre";"main"
"Microsoft SQL Server 2012 Native Client ";"11.4.7001.0";"Microsoft Corporation";"20/03/2026";"7,2";"Registre";"main"
"Microsoft SQL Server 2014";;;"-";"0";"Registre";"doublon"
"Microsoft SQL Server 2014 Express LocalDB ";"12.3.6024.0";"Microsoft Corporation";"06/03/2026";"231,8";"Registre";"main"
"Microsoft SQL Server 2014 RsFx Driver";"12.2.5223.6";"Microsoft Corporation";"23/03/2026";"0";"Registre";"main"
"Microsoft SQL Server 2014 Setup (English)";"12.2.5223.6";"Microsoft Corporation";"23/03/2026";"172,2";"Registre";"main"
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"12.2.5000.0";"Microsoft Corporation";"20/03/2026";"6,2";"Registre";"main"
"Microsoft SQL Server 2019 LocalDB ";"15.0.2000.5";"Microsoft Corporation";"23/03/2026";"258,6";"Registre";"main"
